Препарат,Сегмент,Месяц,"Продажи, уп",,,,,,,Сегмент,Препарат,"Продажи, уп",,,,,Сегмент,Продажи по сегменту,Доля продаж,,,,,Год,Полугодие,Средние продажи,Продажи
Препарат 1,Комм,1/1/2022,1 608,,,,,,,Комм,7/1/2022,2 064,,,,,Общая,106751,1,,,,,2022,1,"978,627451",49910
Препарат 1,Комм,2/1/2022,2 352,,,,,,,FMCG,7/1/2022,900,,,,,Комм,69399,"0,6501016384",,,,,2022,2,"1093,096154",56841
Препарат 1,Комм,3/1/2022,3 191,,,,,,,Комм,7/1/2022,792,,,,,Сеть,6188,"0,0579666701",,,,,2023,1,"2213,229167",106235
Препарат 1,Комм,4/1/2022,1 848,,,,,,,Комм,7/1/2022,440,,,,,СНГ,2952,"0,02765313674",,,,,2023,2,"1428,31759",
Препарат 1,Комм,5/1/2022,2 160,,,,,,,Сеть,7/1/2022,288,,,,,FMCG,28212,"0,2642785548",,,,,,,,
Препарат 1,Комм,6/1/2022,2 832,,,,,,,СНГ,7/1/2022,240,,,,,,,,,,,,,,,
Препарат 1,Комм,7/1/2022,792,,,,,,,СНГ,7/1/2022,144,,,,,,,,,,,,,,,
Препарат 1,Комм,8/1/2022,2 520,,,,,,,Сеть,7/1/2022,96,,,,,,,,,,,,,,,
Препарат 1,Комм,9/1/2022,4 248,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Комм,10/1/2022,1 776,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Комм,11/1/2022,2 448,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Комм,12/1/2022,2 089,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,1/1/2022,528,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,2/1/2022,216,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,3/1/2022,120,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,4/1/2022,360,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,5/1/2022,96,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,6/1/2022,216,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,7/1/2022,96,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,8/1/2022,120,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,9/1/2022,48,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 1,Сеть,10/1/2022,96,,,,,,,,,,,,,,,,,,,,,,,,
